simulation,generation,round,trial,referent,speaker,listener,lexeme,type,produced_x,produced_y,prob,evidence,success,old_guess_A,new_guess_A,old_guess_B,new_guess_B,old_stored_y_A,old_stored_y_B,new_stored_y_A,new_stored_y_B
1,3,4,2,2,B,A,B,large,0.32924014675652835,1,0.4,1,0,0,0.403605340410737,0.16799800734036566,0.16799800734036566,0.3492061679610355,0.3492061679610355,0.3492061679610355,0.3492061679610355
1,3,4,3,3,A,B,C,small,0.6629584582835796,0.0068464243357597284,0.9499999999999998,0.9587493025192041,1,0.5392882044950602,0.5392882044950602,0.9173466442984596,0.9550811584492837,0.056801180374517715,0.056801180374517715,0.03182380235513872,0.03182380235513872
1,3,4,4,4,B,A,D,large,0.9885777228142938,0.644204208879917,0.5859022312457529,0,1,0.5859022312457529,0.6129076156977804,0,0,0.7167271417417759,0.7167271417417759,0.6804656753108465,0.6804656753108465
1,3,5,1,1,B,A,A,small,0.0046963296170297614,0.1509182198114004,0.25705307393437204,0.2097153749422746,0,0.1731669239574622,0.2599281492543086,0.9550528182956496,0.9550528182956496,0.12261301208174707,0.12261301208174707,0.12261301208174707,0.12261301208174707
1,3,5,2,2,B,A,B,large,0.3364688086241613,0,0.003605340410736956,-1,0,0.403605340410737,0.0036596287484168696,0.16799800734036566,0.16799800734036566,0.3492061679610355,0.3492061679610355,0.3492061679610355,0.3492061679610355
1,3,5,3,3,A,B,C,small,0.6723595511443714,0,0.9499999999999998,1,1,0.5392882044950602,0.5392882044950602,0.9550811584492837,0.9550811584492837,0.03182380235513872,0.03182380235513872,0.01591190117756936,0.01591190117756936
1,3,5,4,4,A,B,D,large,1.0027009044679596,0.5805979191062585,0,0,0,0.6129076156977804,0.6129076156977804,0,0,0.6804656753108465,0.6804656753108465,0.6804656753108465,0.6804656753108465
1,3,6,1,3,B,A,C,small,0.67346895022177,0,0.9392882044950603,1,1,0.5392882044950602,0.9453953602993542,0.9550811584492837,0.9550811584492837,0.01591190117756936,0.01591190117756936,0.00795595058878468,0.00795595058878468
1,3,6,2,4,A,B,D,large,1.0193381810385653,0.6760772480075063,0,0,0,0.6129076156977804,0.6129076156977804,0,0,0.6804656753108465,0.6804656753108465,0.6804656753108465,0.6804656753108465
1,3,6,3,1,A,B,A,small,1.7607686195259169e-4,0,0.9499999999999998,1,1,0.2599281492543086,0.2599281492543086,0.9550528182956496,0.9550811584492837,0.12261301208174707,0.12261301208174707,0.06130650604087354,0.06130650604087354
1,3,6,4,2,B,A,B,large,0.33666294285491766,0,0,-1,0,0.0036596287484168696,0,0.16799800734036566,0.16799800734036566,0.3492061679610355,0.3492061679610355,0.3492061679610355,0.3492061679610355
1,3,7,1,3,A,B,C,small,0.643568768186705,0.09245242462872894,0.9499999999999998,0.48793783132475016,1,0.9453953602993542,0.9453953602993542,0.9550811584492837,0.9550811584492837,0.00795595058878468,0.00795595058878468,0.050204187608756806,0.050204187608756806
1,3,7,2,2,B,A,B,large,0.33962092874666483,0,0,-1,0,0,0,0.16799800734036566,0.16799800734036566,0.3492061679610355,0.3492061679610355,0.3492061679610355,0.3492061679610355
1,3,7,3,4,B,A,D,large,0.9964978838446522,1,0.9499999999999998,1,1,0.6129076156977804,0.9550811584492837,0,0,0.6804656753108465,0.6804656753108465,0.8402328376554232,0.8402328376554232
1,3,7,4,1,A,B,A,small,0.010339692419756264,0.09214143461727951,0.9499999999999998,0.48950644431654644,1,0.2599281492543086,0.2599281492543086,0.9550811584492837,0.9550811584492837,0.06130650604087354,0.06130650604087354,0.07672397032907652,0.07672397032907652
1,3,8,1,3,A,B,C,small,0.6575836736833802,0.08593945246966936,0.9499999999999998,0.5209934385156009,1,0.9453953602993542,0.9453953602993542,0.9550811584492837,0.9550811584492837,0.050204187608756806,0.050204187608756806,0.06807182003921308,0.06807182003921308
1,3,8,2,4,A,B,D,large,1.0098621349817956,1,0.4,1,0,0.9550811584492837,0.9550811584492837,0,0.403605340410737,0.8402328376554232,0.8402328376554232,0.8402328376554232,0.8402328376554232
1,3,8,3,1,B,A,A,small,0.0077843010294112785,0.14726563876774418,0.35039237192132305,0.22616055666753607,1,0.2599281492543086,0.37640980845901034,0.9550811584492837,0.9550811584492837,0.07672397032907652,0.07672397032907652,0.11199480454841035,0.11199480454841035
1,3,8,4,2,B,A,B,large,0.32803391606741716,0.5514989738260229,0,0,0,0,0,0.16799800734036566,0.16799800734036566,0.3492061679610355,0.3492061679610355,0.3492061679610355,0.3492061679610355
1,3,9,1,3,B,A,C,small,0.6640280739766397,0.0590461887867887,0.9499999999999998,0.6621388779051051,1,0.9453953602993542,0.9550811584492837,0.9550811584492837,0.9550811584492837,0.06807182003921308,0.06807182003921308,0.06355900441300089,0.06355900441300089
1,3,9,2,1,B,A,A,small,-0.0034175920888959823,0.17806491781662412,0.41288352599710704,0.09118429384524171,0,0.37640980845901034,0.41652437620126365,0.9550811584492837,0.9550811584492837,0.11199480454841035,0.11199480454841035,0.11199480454841035,0.11199480454841035
1,3,9,3,4,A,B,D,large,0.9974849347150195,0.8466438075996957,0.4831275179748706,0.19880544391033417,0,0.9550811584492837,0.9550811584492837,0.403605340410737,0.4868741257350745,0.8402328376554232,0.8402328376554232,0.8402328376554232,0.8402328376554232
1,3,9,4,2,A,B,B,large,0.33501375111147436,0,0,-1,0,0,0,0.16799800734036566,0,0.3492061679610355,0.3492061679610355,0.3492061679610355,0.3492061679610355
1,3,10,1,4,B,A,D,large,0.9953066255175627,0.8650216824484361,0.9499999999999998,0.28237250027676025,1,0.9550811584492837,0.9550811584492837,0.4868741257350745,0.4868741257350745,0.8402328376554232,0.8402328376554232,0.8526272600519297,0.8526272600519297
1,3,10,2,2,A,B,B,large,0.32816157686351577,0.367708907785548,0,0,0,0,0,0,0,0.3492061679610355,0.3492061679610355,0.3492061679610355,0.3492061679610355
1,3,10,3,1,B,A,A,small,0.0017950308649721837,0.09886792199323803,0.598842457176274,0.4557952024375259,0,0.41652437620126365,0.6024405076407369,0.9550811584492837,0.9550811584492837,0.11199480454841035,0.11199480454841035,0.11199480454841035,0.11199480454841035
1,3,10,4,3,A,B,C,small,0.6636707188717743,0.14025777045014112,0.9499999999999998,0.25805074705437686,1,0.9550811584492837,0.9550811584492837,0.9550811584492837,0.9550811584492837,0.06355900441300089,0.06355900441300089,0.101908387431571,0.101908387431571
